_id,Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
1,101,Terrón Colorado,84,309, -, -, -,2,43,2
2,102,Vista Hermosa,199,18, -, -, -, -,30,1
3,196,Patio Bonito,161, -, -, -, -, -,37,1
4,199,Aguacatal,209,23,4,5,1,4,59,1
5,201,Santa Rita, -, -, -,2,6,30,3,6
6,202,Santa Teresita, -, -, -,"",2,56,7,6
7,203,Arboledas,2,6,1,2,2,40,24,6
8,204,Normandía, -,1,1,1,1,36,36,6
9,205,Juanambú, -, -,1,9,25,20,14,5
10,206,Centenario, -, -, -,2,31, -,35,5
11,207,Granada,1,2,7,141,7,3,51,4
12,208,Versalles, -, -, -,8,53, -,29,5
13,209,San Vicente, -, -, -,93,71, -,119,4
14,210,Santa Mónica, -, -,1,13,138,10,92,5
15,211,Prados del Norte, -, -,5,26,144, -,112,5
16,212,La Flora, -, -, -,8,195, -,54,5
17,213,La Campiña, -, -, -,58,4, -,15,4
18,214,La Paz, -,5,24,2,1, -,10,3
19,215,El Bosque,1,3,2,30,86, -,37,5
20,216,Menga, -,1,1,1, -,16,62,6
21,217,Ciudad Los Alamos, -, -,110,24, -, -,160,3
22,218,Chipichape, -, -,-,4,10,1,27,5
23,219,Brisas de Los Alamos , -, -,124,1, -, -,40,3
24,293,Urbanización La Merced, -, -, -,140, -, -,35,4
25,294,Vipasa, -, -, -,286,1, -,98,4
26,295,Urbanización La Flora,1, -, -,43,100, -,79,5
27,296,Altos de Menga,99,14,2,1,1, -,14,1
28,297,Sector Altos Normandía   Batac,10,1, -, -, -, -,43,1
29,298,Area en desarrollo Parque del Amor, -, -, -, -,12, -,25,5
30,301,El Nacional,4,14,14, -,1, -,8,2
31,302,El Peñón, -, -,3,10,50,1,14,5
32,303,San Antonio, -,7,105, -, -, -,19,3
33,304,San Cayetano, -,2,128, -, -, -,7,3
34,305,Los Libertadores, -, -,129, -, -, -,8,3
35,306,San Juan Bosco, -,1,102, -, -, -,26,3
36,307,Santa Rosa, -, -,51,2, -, -,19,3
37,308,La Merced, -, -,28,6, -, -,41,3
38,309,San Pascual,38,5,17, -, -, -,8,1
39,310,El Calvario,15,1,16, -, -, -,44,3
40,311,San Pedro, -, -,20, -, -, -,130,3
41,312,San Nicolás, -,93,86, -, -, -,130,2
42,313,El Hoyo, -,4,16,1, -, -,38,3
43,314,El Piloto,3,18,16, -, -, -,32,2
44,315,Navarro   La Chanca, -,1,15,8, -, -,7,3
45,401,Jorge Isaacs, -,82,3, -, -, -,48,2
46,402,Santander, -,65,29, -, -, -,64,2
47,403,Porvenir, -,108, -, -, -, -,59,2
48,404,Las Delicias, -, -,119,1, -, -,58,3
49,405,Manzanares, -,3,20, -, -, -,47,3
50,406,Salomia, -,4,241, -, -, -,69,3
51,407,Fátima, -,21, -, -, -, -,1,2
52,408,Sultana   Berlín   San Francisco, -,37, -, -, -, -,13,2
53,410,Popular, -, -,32, -, -, -,15,3
54,411,Ignacio Rengifo, -,3,52, -, -, -,5,3
55,412,Guillermo Valencia,18,77,31, -, -, -,22,2
56,413,La Isla,37,118,1, -, -, -,8,2
57,414,Marco Fidel Suárez, -,35, -, -, -, -,2,2
58,415,Evaristo García, -,39, -, -, -, -,15,2
59,416,La Esmeralda, -,39,22, -, -, -,28,2
60,417,Bolivariano, -,25,8, -, -, -,24,2
61,418,Barrio Olaya Herrera,1,79, -, -, -, -,2,2
62,419,Unidad Res. Bueno Madrid, -,7,8, -, -, -,1,3
63,420,Flora Industrial,6,5,24,1, -, -,58,3
64,421,Calima, -, -,93, -, -, -,27,3
65,423,Industria de Licores, -, -, -, -, -, -,4,NR
66,497,La Alianza, -,15,31, -, -, -,29,3
67,501,El Sena, -, -,202,1, -, -,99,3
68,502,Los Andes, -, -,85,1, -, -,32,3
69,503,Los Guayacanes, -,1,236, -, -, -,234,3
70,504,Chiminangos Segunda Etapa, -, -,10, -, -, -,19,3
71,505,Chiminangos Primera Etapa, -, -,12, -, -, -,63,3
72,506,Metropolitano del Norte, -, -,60,4, -, -,60,3
73,594,Los Parques   Barranquilla, -, -,131,6, -, -,141,3
74,595,Villa del Sol, -, -,2,11, -, -,14,4
75,596,Paseo de Los Almendros, -, -,109,1, -, -,74,3
76,597,Los Andes B   La Riviera, -,24,58, -, -, -,27,3
77,598,Torres de Comfandi, -, -,134,10, -, -,146,3
78,599,Villa del Prado   El Guabito, -,12,361,1, -, -,387,3
79,601,San Luís, -,225, -, -, -, -,54,2
80,602,Jorge Eliecer Gaitán, -,191,5, -, -, -,126,2
81,603,Paso del Comercio,24,126, -, -, -, -,141,2
